[2026-01-23 17:02:22.469] [info]  Listening to 1 MessagePort(s) for renderer 4 (https://www.notion.so/?loadOrigin=new_tab&tabCount=0)
[2026-01-23 17:02:22.600] [info]  Enabling corruption repair
[2026-01-23 17:02:23.178] [info]  Listening to 1 MessagePort(s) for renderer 3 (https://www.notion.so/blank?tabCount=0)
[2026-01-23 17:02:23.651] [info]  Enabling corruption repair
[2026-01-23 17:02:24.987] [info]  Enabling corruption repair
[2026-01-23 17:02:25.844] [info]  Enabling corruption repair
[2026-01-23 17:03:38.243] [info]  Disabling corruption repair
[2026-01-23 17:03:41.229] [info]  Listening to 1 MessagePort(s) for renderer 4 (https://www.notion.so/Tech-Job-1d683fc5d04180698f6bdb99280b5701?loadOrigin=service_worker_change)
[2026-01-23 17:03:41.513] [info]  Enabling corruption repair
[2026-01-23 17:03:41.757] [info]  Listening to 1 MessagePort(s) for renderer 3 (https://www.notion.so/blank?tabCount=0&loadOrigin=service_worker_change)
[2026-01-23 17:03:42.199] [info]  Enabling corruption repair
[2026-01-23 17:03:42.826] [info]  Enabling corruption repair
